"ID","N2_set6","N2_set5","e113_set6","e113_set5","padj","log2FoldChange","pvalue","stat","foldChange","log10padj"
"WBGene00016419",1703.5684017441,1159.06521060519,5413.18437768642,4498.33361204625,1.85191491478597e-05,1.79152121357987,4.32745851559795e-07,25.5424957441736,3.46179720666106,4.73237897061726
"WBGene00016422",794.129590453989,375.455948571527,7546.01286111757,11693.7848853384,1.04334341798055e-11,4.03953829520387,4.06301689057182e-14,57.1378914087602,16.4445576427426,10.9815727193916
"WBGene00016483",11.0295776451943,16.9124301158345,102.511121695477,60.7536021410089,0.0016177391840781,2.55057864922252,0.00015587035414709,14.2999338733895,5.85869217003005,2.79109149511317
"WBGene00016535",441.183105807772,249.176470373296,1070.8928829547,856.540221734506,0.00367166203386252,1.48024436440947,0.000438321145852587,12.3613180057966,2.78995985748114,2.4351373012136
"WBGene00016625",72.1935991321809,60.8847484170044,320.471661999453,261.839468382376,5.89390891309042e-06,2.12754570958302,1.05876386479735e-07,28.2634499420608,4.36973475343057,5.22959658020104
"WBGene00016628",105.282332067764,83.4346552381171,359.286552738518,213.921134299327,0.00418108460307485,1.60080697565062,0.000512098170717665,12.0710876082001,3.0331292482451,2.37871104453358
"WBGene00016645",21.0564664135527,3.38248602316691,180.140903173606,76.1559238105605,0.00252067979064132,3.37655094261551,0.000273425915359434,13.2441908297518,10.3858755813346,2.59848232052351
"WBGene00016659",697.871458277748,661.839765199659,2084.06105660514,1654.89389493959,6.19093024041936e-05,1.45911243847625,2.0525580458895e-06,22.5452088179293,2.74939166051765,4.20824408960228
"WBGene00016671",36.0967995660904,93.5821133076178,217.960540303976,253.282623010403,0.00821355079366342,1.86569620687733,0.00116741852894148,10.5412117909226,3.644437620318,2.08546905278111
"WBGene00016683",40.1075550734338,11.2749534105564,174.169381521442,99.2594063148878,0.00883491347392641,2.40358186889343,0.00127299111294436,10.3812843458337,5.29115202185459,2.05379769946568
"WBGene00016749",1204.22934107985,670.859727928104,2623.48851251727,2064.76678825711,0.00984935364995682,1.32168897342306,0.00144773449676005,10.1439774353421,2.49958566841595,2.00659226853461
"WBGene00016845",13.034955398866,32.6973648906135,148.292787695399,138.620895025964,0.000281212791567548,2.65821785417814,1.54374712536924e-05,18.682725864106,6.31252787818388,3.55096492838603
"WBGene00016894",376.008328813442,199.566675366848,1618.28236773637,979.758795090918,0.000185715609550574,2.17327260955529,8.64363210080871e-06,19.789942136418,4.5104538568596,3.73115159191571
"WBGene00016934",479.285283127534,403.643332097918,1189.32806238928,909.592663040739,0.00190732060417094,1.24870281524175,0.000190959678603635,13.9180123615044,2.37627666386452,2.71957629965488
"WBGene00016939",119.319976343466,142.06441297301,332.414705303781,280.664528200717,0.0058014200086378,1.23035800376423,0.000765579011252309,11.3228795265602,2.34625204703353,2.23646569153453
"WBGene00016996",43.1156217039413,19.1674207979458,389.144160999336,334.572654044148,6.30210712199066e-09,3.53023578874458,3.99794497406606e-11,43.614846491957,11.553321642068,8.20051421904618
"WBGene00017046",86.2312434078827,99.219590012896,285.637785695165,286.654319961098,0.000188429884841494,1.62675110032128,8.81730194126705e-06,19.7519211038291,3.08816770301932,3.72485021729429
"WBGene00017126",407.091683995353,143.191908314066,1400.32182743239,800.920726816681,0.00625575646654384,1.99894600874585,0.000836144071402882,11.1592347309039,3.99707878294365,2.20372016648511
"WBGene00017154",15.0403331525377,12.402448751612,670.800932259726,653.742986418744,1.40621147733826e-32,5.58804438055361,4.4162159328505e-36,157.293346001364,48.1026470212611,31.851949361724
"WBGene00017184",420.126639394219,370.945967207304,1695.9121492145,1206.51519744821,4.8757552056083e-06,1.87491236873075,8.42178683212288e-08,28.7065622510379,3.66779337926787,5.31195810689333
"WBGene00017201",208.559286381856,216.479105482682,823.074734389901,835.148108304573,1.69022199775848e-08,1.96417343142269,1.24210774284117e-10,41.3975845034926,3.90189087788356,7.77205625037467
"WBGene00017244",1826.89913359491,1434.17407382277,3738.17255425449,3217.37385986188,0.00345846036574631,1.09262145187817,0.000408493553293751,12.492936652681,2.13261191313508,2.46111719700895
"WBGene00017265",17.0457109062094,38.3348415958916,160.235830999727,109.527620761256,0.00207388693478712,2.29002662870146,0.00021251183236728,13.7170904035134,4.89065137966777,2.68321492438697
"WBGene00017307",233.626508302752,152.211871042511,458.811913607913,699.094266890201,0.00241793698288448,1.58476665411119,0.000259091796545501,13.345150267551,2.9995927760645,2.61655502206175
"WBGene00017322",214.575419642871,130.789459562454,552.365752825145,666.578254476703,0.000208391201832003,1.81806050532079,1.02225694762134e-05,19.4693731963601,3.52606850864115,3.68112062067228
"WBGene00017364",17.0457109062094,7.89246738738945,106.492136130253,78.7229774221524,0.000313433963210906,2.880998752085,1.78558285051008e-05,18.4053250518753,7.36659920561202,3.50385394585112
"WBGene00017367",9.02419989152261,7.89246738738945,71.6582598259647,33.371696950695,0.00893735325886384,2.62954343311325,0.00129504892708994,10.3495693767786,6.1883012646156,2.04879107575186
"WBGene00017421",42.1129328271055,48.4822996653924,137.344997999766,148.033424935134,0.00188365419247836,1.65707683866975,0.000187998650326494,13.9473883885008,3.15376866307095,2.72499882345561
"WBGene00017423",215.578108519707,224.371572870072,582.223361085964,528.813043987937,0.000363051084393743,1.3364718667792,2.16736751053653e-05,18.0362640521326,2.5253298967106,3.4400322617149
"WBGene00017426",364.978751168248,280.746339922853,1331.64932843251,888.200549610806,0.000108501206919627,1.78067781734876,4.33432369831561e-06,21.1110024811251,3.43587563437161,3.96456543088809
"WBGene00017535",23.0618441672244,9.01996272844509,252.794416608265,319.170332374596,3.62535292889356e-10,4.14284190356127,1.70781652953343e-12,49.7938129529057,17.6652456184817,9.44064970837297
"WBGene00017560",130.34955398866,120.642001492953,293.599814564717,464.636703698139,0.00140718780796511,1.59545048768596,0.000130545593390143,14.6338920448415,3.02188862144349,2.85164793631098
"WBGene00017569",115.309220836122,59.7572530759487,1039.04476747649,617.804235856457,9.24377772628162e-08,3.23948728914645,8.18649996486218e-10,37.7151804521626,9.44458424004474,7.03415050601097
"WBGene00017698",178.47862007678,184.909235933124,887.766218955008,717.919326708542,1.9331147350016e-08,2.14349691344445,1.44488821974242e-10,41.1019944188429,4.41831694585415,7.71374236878608
