Sequence ID,Wormbase ID,Category 1,Category 2,Category 3
C43E11.1,WBGene00016601,Apoptosis,Apoptosis,Apoptosis
F46F3.4,WBGene00000146,Apoptosis,Apoptosis,Apoptosis
K04C2.4,WBGene00000265,Apoptosis,Apoptosis,Apoptosis
C11E4.6,WBGene00007520,Apoptosis,Apoptosis,Apoptosis
C24A1.3,WBGene00016030,Apoptosis,Apoptosis,Apoptosis
C33A11.2,WBGene00007878,Apoptosis,Apoptosis,Apoptosis
F58G11.6,WBGene00010283,Apoptosis,Apoptosis,Apoptosis
Y47H9C.4,WBGene00000415,Apoptosis,Apoptosis,Apoptosis
Y106G6E.5,WBGene00000426,Apoptosis,Apoptosis,Apoptosis
R09F10.9,WBGene00000427,Apoptosis,Apoptosis,Apoptosis
C48D1.2,WBGene00000417,Apoptosis,Apoptosis,Apoptosis
C35D10.9,WBGene00000418,Apoptosis,Apoptosis,Apoptosis
C02F4.1,WBGene00000419,Apoptosis,Apoptosis,Apoptosis
F56D2.7,WBGene00000420,Apoptosis,Apoptosis,Apoptosis
C48B4.4,WBGene00000421,Apoptosis,Apoptosis,Apoptosis
T07C4.8,WBGene00000423,Apoptosis,Apoptosis,Apoptosis
Y47G6A.8,WBGene00000794,Apoptosis,Apoptosis,Apoptosis
CD4.2,WBGene00000795,Apoptosis,Apoptosis,Apoptosis
C14A4.4,WBGene00000796,Apoptosis,Apoptosis,Apoptosis
AH9.2,WBGene00000797,Apoptosis,Apoptosis,Apoptosis
C14A4.5,WBGene00000798,Apoptosis,Apoptosis,Apoptosis
K04H4.6,WBGene00000799,Apoptosis,Apoptosis,Apoptosis
F57B10.10,WBGene00000896,Apoptosis,Apoptosis,Apoptosis
C14A4.2,WBGene00000933,Apoptosis,Apoptosis,Apoptosis
C14F5.1,WBGene00015776,Apoptosis,Apoptosis,Apoptosis
H06H21.9,WBGene00019165,Apoptosis,Apoptosis,Apoptosis
C27A2.3,WBGene00002068,Apoptosis,Apoptosis,Apoptosis
C16A3.3,WBGene00002850,Apoptosis,Apoptosis,Apoptosis
Y76A2B.2,WBGene00014951,Apoptosis,Apoptosis,Apoptosis
Y37A1B.2,WBGene00003086,Apoptosis,Apoptosis,Apoptosis
M04F3.4,WBGene00019770,Apoptosis,Apoptosis,Apoptosis
C01B9.1,WBGene00007220,Apoptosis,Apoptosis,Apoptosis
C14A4.6,WBGene00007557,Apoptosis,Apoptosis,Apoptosis
C14C11.4,WBGene00015768,Apoptosis,Apoptosis,Apoptosis
Y23H5A.1,WBGene00000801,Apoptosis,Apoptosis,Apoptosis
F01G10.9,WBGene00008511,Apoptosis,Apoptosis,Apoptosis
F49F1.5,WBGene00018645,Apoptosis,Apoptosis,Apoptosis
F21E9.3,WBGene00017667,Apoptosis,Apoptosis,Apoptosis
W03C9.5,WBGene00012221,Apoptosis,Apoptosis,Apoptosis
Y38F2AL.6,WBGene00021418,Apoptosis,Apoptosis,Apoptosis
Y53F4B.7,WBGene00013154,Apoptosis,Apoptosis,Apoptosis
Y53F4B.8,WBGene00013155,Apoptosis,Apoptosis,Apoptosis
Y7A9C.1,WBGene00012418,Apoptosis,Apoptosis,Apoptosis
ZC247.1,WBGene00013859,Apoptosis,Apoptosis,Apoptosis
T01C3.11,WBGene00011325,Apoptosis,Apoptosis,Apoptosis
F59H6.3,WBGene00019134,Apoptosis,Apoptosis,Apoptosis
ZC155.1,WBGene00003588,Apoptosis,Apoptosis,Apoptosis
F53A2.4,WBGene00003829,Apoptosis,Apoptosis,Apoptosis
T22H2.6,WBGene00011936,Apoptosis,Apoptosis,Apoptosis
R11G11.7,WBGene00004144,Apoptosis,Apoptosis,Apoptosis
C16C8.20,WBGene00195070,Apoptosis,Apoptosis,Apoptosis
F56A11.6,WBGene00018926,Apoptosis,Apoptosis,Apoptosis
T07D10.8,WBGene00045509,Apoptosis,Apoptosis,Apoptosis
F40F12.8,WBGene00014755,Apoptosis,Apoptosis,Apoptosis
VW02B12L.t2,WBGene00014850,Apoptosis,Apoptosis,Apoptosis
Y47H10A.6,WBGene00077537,Apoptosis,Apoptosis,Apoptosis
R07H5.4,WBGene00011124,Apoptosis,Apoptosis,Apoptosis
Y40C5A.1,WBGene00021495,Apoptosis,Apoptosis,Apoptosis
C50B8.2,WBGene00000250,Apoptosis,Apoptosis,Apoptosis
C40D2.2,WBGene00016555,Apoptosis,Apoptosis,Apoptosis
C46F9.3,WBGene00016719,Apoptosis,Apoptosis,Apoptosis
Y41D4B.13,WBGene00000416,Apoptosis,Apoptosis,Apoptosis
Y48E1B.13,WBGene00000819,Apoptosis,Apoptosis,Apoptosis
Y73B6BL.7,WBGene00000820,Apoptosis,Apoptosis,Apoptosis
F36H5.1,WBGene00018100,Apoptosis,Apoptosis,Apoptosis
F36H5.2,WBGene00018101,Apoptosis,Apoptosis,Apoptosis
F54G8.4,WBGene00003597,Apoptosis,Apoptosis,Apoptosis
C09G4.4,WBGene00044001,Apoptosis,Apoptosis,Apoptosis
W06B4.3,WBGene00021058,Apoptosis,Apoptosis,Apoptosis
Y47C4A.1,WBGene00023371,Apoptosis,Apoptosis,Apoptosis
Y49E10.20,WBGene00013039,Apoptosis,Apoptosis,Apoptosis
Y76A2B.6,WBGene00013578,Apoptosis,Apoptosis,Apoptosis
Y47C4A.2,WBGene00023372,Apoptosis,Apoptosis,Apoptosis
Y76A2B.1,WBGene00014950,Apoptosis,Apoptosis,Apoptosis
D2085.2,WBGene00008427,Autophagy,Autophagy,Autophagy
D2007.5,WBGene00017045,Autophagy,Autophagy,Autophagy
F02E8.5,WBGene00017178,Autophagy,Autophagy,Autophagy
K06A1.5,WBGene00019427,Autophagy,Autophagy,Autophagy
F41E6.13,WBGene00018294,Autophagy,Autophagy,Autophagy
M03A8.2,WBGene00019748,Autophagy,Autophagy,Autophagy
Y55F3AM.4,WBGene00021922,Autophagy,Autophagy,Autophagy
Y87G2A.3,WBGene00013595,Autophagy,Autophagy,Autophagy
ZK792.8,WBGene00014080,Autophagy,Autophagy,Autophagy
Y71G12B.12,WBGene00022152,Autophagy,Autophagy,Autophagy
T22H9.2,WBGene00020706,Autophagy,Autophagy,Autophagy
T19E7.3,WBGene00000247,Autophagy,Autophagy,Autophagy
Y39G10AR.10,WBGene00021468,Autophagy,Autophagy,Autophagy
F37C12.2,WBGene00018150,Autophagy,Autophagy,Autophagy
Y39A1A.1,WBGene00012641,Autophagy,Autophagy,Autophagy
T08A9.1,WBGene00020334,Autophagy,Autophagy,Autophagy
Y69A2AR.7,WBGene00022078,Autophagy,Autophagy,Autophagy
C32D5.9,WBGene00002980,Autophagy,Autophagy,Autophagy
ZK593.6,WBGene00002981,Autophagy,Autophagy,Autophagy
B0336.8,WBGene00002982,Autophagy,Autophagy,Autophagy
W03A5.2,WBGene00020967,Autophagy,Autophagy,Autophagy
F25B4.9,WBGene00017772,C type lectin,C type lectin,C type lectin
F17B5.3,WBGene00008907,C type lectin,C type lectin,C type lectin
C54C8.7,WBGene00008294,C type lectin,C type lectin,C type lectin
T05A7.2,WBGene00020220,C type lectin,C type lectin,C type lectin
F40G9.10,WBGene00018246,C type lectin,C type lectin,C type lectin
T07D10.4,WBGene00011584,C type lectin,C type lectin,C type lectin
R06B10.3,WBGene00019914,C type lectin,C type lectin,C type lectin
R13F6.2,WBGene00020065,C type lectin,C type lectin,C type lectin
F58A4.5,WBGene00010228,C type lectin,C type lectin,C type lectin
F38A1.5,WBGene00009518,C type lectin,C type lectin,C type lectin
K03H6.7,WBGene00044719,C type lectin,C type lectin,C type lectin
T19E7.1,WBGene00020585,C type lectin,C type lectin,C type lectin
F56H6.8,WBGene00010169,C type lectin,C type lectin,C type lectin
ZK896.6,WBGene00014137,C type lectin,C type lectin,C type lectin
F36H5.6,WBGene00018105,C type lectin,C type lectin,C type lectin
F26D10.12,WBGene00009156,C type lectin,C type lectin,C type lectin
C49C3.12,WBGene00008202,C type lectin,C type lectin,C type lectin
C49C3.13,WBGene00008203,C type lectin,C type lectin,C type lectin
C30H6.1,WBGene00007820,C type lectin,C type lectin,C type lectin
T07H3.5,WBGene00020328,C type lectin,C type lectin,C type lectin
C30H6.4,WBGene00007822,C type lectin,C type lectin,C type lectin
F36F12.5,WBGene00018096,C type lectin,C type lectin,C type lectin
T07H3.4,WBGene00020327,C type lectin,C type lectin,C type lectin
Y73C8C.2,WBGene00022261,C type lectin,C type lectin,C type lectin
W02D7.10,WBGene00020945,C type lectin,C type lectin,C type lectin
F49A5.3,WBGene00009855,C type lectin,C type lectin,C type lectin
C03E10.5,WBGene00007282,C type lectin,C type lectin,C type lectin
ZK863.9,WBGene00044790,C type lectin,C type lectin,C type lectin
B0365.5,WBGene00007152,C type lectin,C type lectin,C type lectin
F08H9.5,WBGene00008593,C type lectin,C type lectin,C type lectin
F49A5.4,WBGene00009856,C type lectin,C type lectin,C type lectin
T20B3.15,WBGene00044331,C type lectin,C type lectin,C type lectin
T20B3.12,WBGene00011852,C type lectin,C type lectin,C type lectin
F31D4.4,WBGene00009291,C type lectin,C type lectin,C type lectin
C25B8.4,WBGene00016088,C type lectin,C type lectin,C type lectin
Y102A5B.1,WBGene00013607,C type lectin,C type lectin,C type lectin
F49A5.5,WBGene00009857,C type lectin,C type lectin,C type lectin
T25E12.9,WBGene00012024,C type lectin,C type lectin,C type lectin
C41H7.7,WBGene00016577,C type lectin,C type lectin,C type lectin
F49A5.2,WBGene00009854,C type lectin,C type lectin,C type lectin
F49A5.9,WBGene00009860,C type lectin,C type lectin,C type lectin
F49A5.7,WBGene00009859,C type lectin,C type lectin,C type lectin
T25E12.8,WBGene00012023,C type lectin,C type lectin,C type lectin
Y102A5B.2,WBGene00013608,C type lectin,C type lectin,C type lectin
T20B3.16,WBGene00044332,C type lectin,C type lectin,C type lectin
Y102A5B.3,WBGene00013609,C type lectin,C type lectin,C type lectin
T25E12.10,WBGene00012025,C type lectin,C type lectin,C type lectin
T25E12.7,WBGene00012022,C type lectin,C type lectin,C type lectin
T20B3.13,WBGene00011853,C type lectin,C type lectin,C type lectin
B0365.6,WBGene00007153,C type lectin,C type lectin,C type lectin
F16H6.1,WBGene00008891,C type lectin,C type lectin,C type lectin
R07C3.12,WBGene00019928,C type lectin,C type lectin,C type lectin
C14A6.1,WBGene00007565,C type lectin,C type lectin,C type lectin
C35D10.14,WBGene00016450,C type lectin,C type lectin,C type lectin
W04E12.8,WBGene00012253,C type lectin,C type lectin,C type lectin
B0218.6,WBGene00015050,C type lectin,C type lectin,C type lectin
B0218.8,WBGene00015052,C type lectin,C type lectin,C type lectin
T03F1.10,WBGene00020191,C type lectin,C type lectin,C type lectin
F08H9.8,WBGene00008596,C type lectin,C type lectin,C type lectin
F08H9.9,WBGene00008597,C type lectin,C type lectin,C type lectin
C35D10.15,WBGene00016451,C type lectin,C type lectin,C type lectin
ZK666.6,WBGene00014046,C type lectin,C type lectin,C type lectin
F35C5.6,WBGene00009394,C type lectin,C type lectin,C type lectin
F35C5.7,WBGene00009395,C type lectin,C type lectin,C type lectin
F35C5.8,WBGene00009396,C type lectin,C type lectin,C type lectin
F56D6.2,WBGene00018971,C type lectin,C type lectin,C type lectin
F10G2.3,WBGene00017364,C type lectin,C type lectin,C type lectin
Y46C8AL.1,WBGene00021579,C type lectin,C type lectin,C type lectin
F47C12.2,WBGene00018547,C type lectin,C type lectin,C type lectin
Y38E10A.4,WBGene00012582,C type lectin,C type lectin,C type lectin
Y54G2A.6,WBGene00021872,C type lectin,C type lectin,C type lectin
K10B2.3,WBGene00019606,C type lectin,C type lectin,C type lectin
C09D1.2,WBGene00015631,C type lectin,C type lectin,C type lectin
Y70C5C.2,WBGene00013493,C type lectin,C type lectin,C type lectin
ZK858.3,WBGene00014117,C type lectin,C type lectin,C type lectin
C34E10.3,WBGene00001660,C type lectin,C type lectin,C type lectin
F15D3.2,WBGene00008853,C type lectin,C type lectin,C type lectin
Y26D4A.4,WBGene00012502,C type lectin,C type lectin,C type lectin
Y25C1A.3,WBGene00021290,C type lectin,C type lectin,C type lectin
Y25C1A.1,WBGene00021288,C type lectin,C type lectin,C type lectin
C17F4.1,WBGene00015909,C type lectin,C type lectin,C type lectin
W09G10.5,WBGene00021117,C type lectin,C type lectin,C type lectin
C16A11.8,WBGene00015821,C type lectin,C type lectin,C type lectin
F35D11.9,WBGene00018049,C type lectin,C type lectin,C type lectin
F35D11.10,WBGene00018050,C type lectin,C type lectin,C type lectin
EEED8.11,WBGene00017139,C type lectin,C type lectin,C type lectin
Y48E1B.16,WBGene00013013,C type lectin,C type lectin,C type lectin
C04H5.2,WBGene00007313,C type lectin,C type lectin,C type lectin
F10F2.8,WBGene00008660,C type lectin,C type lectin,C type lectin
F26A1.12,WBGene00017810,C type lectin,C type lectin,C type lectin
F38A1.14,WBGene00009526,C type lectin,C type lectin,C type lectin
T26C12.6,WBGene00044469,C type lectin,C type lectin,C type lectin
F32E10.3,WBGene00017991,C type lectin,C type lectin,C type lectin
C25G4.1,WBGene00007729,C type lectin,C type lectin,C type lectin
Y46H3B.2,WBGene00021603,C type lectin,C type lectin,C type lectin
C03E10.6,WBGene00007283,C type lectin,C type lectin,C type lectin
F21H7.4,WBGene00009030,C type lectin,C type lectin,C type lectin
F26D2.12,WBGene00009150,C type lectin,C type lectin,C type lectin
Y102A5C.17,WBGene00013622,C type lectin,C type lectin,C type lectin
Y51A2A.1,WBGene00013058,C type lectin,C type lectin,C type lectin
R07C3.1,WBGene00019917,C type lectin,C type lectin,C type lectin
F47C12.4,WBGene00018548,C type lectin,C type lectin,C type lectin
Y54G2A.14,WBGene00021879,C type lectin,C type lectin,C type lectin
Y52B11A.5,WBGene00013125,C type lectin,C type lectin,C type lectin
ZK39.3,WBGene00013928,C type lectin,C type lectin,C type lectin
R03H10.7,WBGene00019859,C type lectin,C type lectin,C type lectin
Y71A12B.5,WBGene00013502,C type lectin,C type lectin,C type lectin
W10G11.7,WBGene00021140,C type lectin,C type lectin,C type lectin
R10D12.5,WBGene00011186,C type lectin,C type lectin,C type lectin
F11D11.7,WBGene00008702,C type lectin,C type lectin,C type lectin
M162.1,WBGene00010927,C type lectin,C type lectin,C type lectin
C49A1.6,WBGene00008188,C type lectin,C type lectin,C type lectin
F29A7.7,WBGene00017917,C type lectin,C type lectin,C type lectin
W10G11.5,WBGene00021138,C type lectin,C type lectin,C type lectin
F10F2.7,WBGene00008659,C type lectin,C type lectin,C type lectin
M199.3,WBGene00010952,C type lectin,C type lectin,C type lectin
Y46H3B.1,WBGene00021602,C type lectin,C type lectin,C type lectin
T20B3.8,WBGene00011851,C type lectin,C type lectin,C type lectin
F36D3.10,WBGene00009474,C type lectin,C type lectin,C type lectin
F49H6.2,WBGene00009906,C type lectin,C type lectin,C type lectin
T27C5.7,WBGene00012080,C type lectin,C type lectin,C type lectin
F11D11.5,WBGene00008700,C type lectin,C type lectin,C type lectin
Y46C8AR.1,WBGene00021587,C type lectin,C type lectin,C type lectin
T10B5.7,WBGene00020393,C type lectin,C type lectin,C type lectin
Y18D10A.10,WBGene00012480,C type lectin,C type lectin,C type lectin
F47F6.5,WBGene00018575,C type lectin,C type lectin,C type lectin
Y39A1B.1,WBGene00012661,C type lectin,C type lectin,C type lectin
F33E2.3,WBGene00009359,C type lectin,C type lectin,C type lectin
T26E3.1,WBGene00012036,C type lectin,C type lectin,C type lectin
K01C8.8,WBGene00010460,C type lectin,C type lectin,C type lectin
Y77E11A.9,WBGene00022312,C type lectin,C type lectin,C type lectin
R08C7.6,WBGene00019950,C type lectin,C type lectin,C type lectin
Y50D4B.5,WBGene00021744,C type lectin,C type lectin,C type lectin
F19F10.7,WBGene00017603,C type lectin,C type lectin,C type lectin
C29F3.4,WBGene00007805,C type lectin,C type lectin,C type lectin
F49H6.1,WBGene00009905,C type lectin,C type lectin,C type lectin
F11D11.8,WBGene00008703,C type lectin,C type lectin,C type lectin
Y60A3A.2,WBGene00013357,C type lectin,C type lectin,C type lectin
ZK39.5,WBGene00013930,C type lectin,C type lectin,C type lectin
W09G10.6,WBGene00021118,C type lectin,C type lectin,C type lectin
W10G11.6,WBGene00021139,C type lectin,C type lectin,C type lectin
F35D11.8,WBGene00018048,C type lectin,C type lectin,C type lectin
Y48E1B.9,WBGene00013008,C type lectin,C type lectin,C type lectin
T07D10.5,WBGene00011585,C type lectin,C type lectin,C type lectin
F08G5.7,WBGene00023502,C type lectin,C type lectin,C type lectin
Y116A8A.3,WBGene00013774,C type lectin,C type lectin,C type lectin
Y116A8A.8,WBGene00013778,C type lectin,C type lectin,C type lectin
D1054.7,WBGene00008374,C type lectin,C type lectin,C type lectin
Y70C5C.5,WBGene00013495,C type lectin,C type lectin,C type lectin
ZK39.6,WBGene00013931,C type lectin,C type lectin,C type lectin
R07E3.6,WBGene00011107,C type lectin,C type lectin,C type lectin
W03D2.6,WBGene00020981,C type lectin,C type lectin,C type lectin
Y25C1A.4,WBGene00021291,C type lectin,C type lectin,C type lectin
Y51A2A.7,WBGene00013063,C type lectin,C type lectin,C type lectin
H22K11.4,WBGene00019227,C type lectin,C type lectin,C type lectin
Y26D4A.6,WBGene00012504,C type lectin,C type lectin,C type lectin
W10G11.15,WBGene00021145,C type lectin,C type lectin,C type lectin
W10G11.14,WBGene00021144,C type lectin,C type lectin,C type lectin
W10G11.12,WBGene00021142,C type lectin,C type lectin,C type lectin
Y59H11AR.5,WBGene00044511,C type lectin,C type lectin,C type lectin
C33D9.2,WBGene00007897,C type lectin,C type lectin,C type lectin
C30H6.3,WBGene00007821,C type lectin,C type lectin,C type lectin
Y51A2A.11,WBGene00013064,C type lectin,C type lectin,C type lectin
Y18D10A.24,WBGene00012488,C type lectin,C type lectin,C type lectin
F47G4.1,WBGene00009822,C type lectin,C type lectin,C type lectin
C49A1.9,WBGene00008190,C type lectin,C type lectin,C type lectin
Y17D7B.6,WBGene00012454,C type lectin,C type lectin,C type lectin
ZC15.2,WBGene00013831,C type lectin,C type lectin,C type lectin
F26F2.6,WBGene00009171,C type lectin,C type lectin,C type lectin
K04H8.1,WBGene00010576,C type lectin,C type lectin,C type lectin
W10G11.13,WBGene00021143,C type lectin,C type lectin,C type lectin
F26A1.11,WBGene00017809,C type lectin,C type lectin,C type lectin
E03H12.3,WBGene00017110,C type lectin,C type lectin,C type lectin
C42D4.11,WBGene00016597,C type lectin,C type lectin,C type lectin
T20D3.1,WBGene00011855,C type lectin,C type lectin,C type lectin
M199.6,WBGene00010954,C type lectin,C type lectin,C type lectin
F38C2.6,WBGene00009538,C type lectin,C type lectin,C type lectin
Y116A8C.21,WBGene00013798,C type lectin,C type lectin,C type lectin
F11D11.14,WBGene00045364,C type lectin,C type lectin,C type lectin
ZK39.4,WBGene00013929,C type lectin,C type lectin,C type lectin
Y53H1A.3,WBGene00013179,C type lectin,C type lectin,C type lectin
F17B5.5,WBGene00008909,C type lectin,C type lectin,C type lectin
Y71A12B.6,WBGene00013503,C type lectin,C type lectin,C type lectin
C07A9.1,WBGene00007399,C type lectin,C type lectin,C type lectin
Y55F3C.5,WBGene00021949,C type lectin,C type lectin,C type lectin
F38A1.7,WBGene00009520,C type lectin,C type lectin,C type lectin
H02K04.2,WBGene00044086,C type lectin,C type lectin,C type lectin
Y68A4B.1,WBGene00013470,C type lectin,C type lectin,C type lectin
W04H10.4,WBGene00021032,C type lectin,C type lectin,C type lectin
W10G11.11,WBGene00021141,C type lectin,C type lectin,C type lectin
R13F6.8,WBGene00020067,C type lectin,C type lectin,C type lectin
F38A1.10,WBGene00009523,C type lectin,C type lectin,C type lectin
E03H12.2,WBGene00017109,C type lectin,C type lectin,C type lectin
F36F12.6,WBGene00018097,C type lectin,C type lectin,C type lectin
F19F10.6,WBGene00017602,C type lectin,C type lectin,C type lectin
C50E3.14,WBGene00044549,C type lectin,C type lectin,C type lectin
F26D11.9,WBGene00017824,C type lectin,C type lectin,C type lectin
F17C11.5,WBGene00008916,C type lectin,C type lectin,C type lectin
Y102A5C.16,WBGene00013621,C type lectin,C type lectin,C type lectin
F11D11.1,WBGene00008696,C type lectin,C type lectin,C type lectin
Y17D7B.8,WBGene00044892,C type lectin,C type lectin,C type lectin
ZC15.6,WBGene00013834,C type lectin,C type lectin,C type lectin
ZK666.5,WBGene00014045,C type lectin,C type lectin,C type lectin
ZK39.7,WBGene00013932,C type lectin,C type lectin,C type lectin
ZK39.8,WBGene00013933,C type lectin,C type lectin,C type lectin
C48D1.1,WBGene00008177,Cell cycle,Cell cycle,Cell cycle
W08F4.8,WBGene00021097,Cell cycle,Cell cycle,Cell cycle
r07g3.1,WBGene00000390,Cell cycle,Cell cycle,Cell cycle
C06A1.1,WBGene00007352,Cell cycle,Cell cycle,Cell cycle
C41C4.8,WBGene00008053,Cell cycle,Cell cycle,Cell cycle
K04G2.3,WBGene00010562,Cell cycle,Cell cycle,Cell cycle
F35F11.1,WBGene00018064,Cell cycle,Cell cycle,Cell cycle
Y113G7B.16,WBGene00013765,Cell cycle,Cell cycle,Cell cycle
T05A6.1,WBGene00000516,Cell cycle,Cell cycle,Cell cycle
T05A6.2,WBGene00000517,Cell cycle,Cell cycle,Cell cycle
H19N07.1,WBGene00010405,Cell cycle,Cell cycle,Cell cycle
F34D10.2,WBGene00009372,Cell cycle,Cell cycle,Cell cycle
F25H5.5,WBGene00009127,Cell cycle,Cell cycle,Cell cycle
ZK1307.6,WBGene00001510,Cell cycle,Cell cycle,Cell cycle
F47D12.5,WBGene00018561,Cell cycle,Cell cycle,Cell cycle
W06A11.2,WBGene00021053,Cell cycle,Cell cycle,Cell cycle
H24K24.2,WBGene00019239,Cell cycle,Cell cycle,Cell cycle
F28B3.8,WBGene00002075,Cell cycle,Cell cycle,Cell cycle
K02F6.7,WBGene00019341,Cell cycle,Cell cycle,Cell cycle
K05C4.9,WBGene00010585,Cell cycle,Cell cycle,Cell cycle
K07E8.6,WBGene00019497,Cell cycle,Cell cycle,Cell cycle
F53G2.7,WBGene00018769,Cell cycle,Cell cycle,Cell cycle
C34C12.3,WBGene00007922,Cell cycle,Cell cycle,Cell cycle
R02F2.1,WBGene00019831,Cell cycle,Cell cycle,Cell cycle
R05D3.4,WBGene00007008,Cell cycle,Cell cycle,Cell cycle
F15B9.9,WBGene00001109,Cell cycle,Cell cycle,Cell cycle
K06A5.2,WBGene00019430,Cell cycle,Cell cycle,Cell cycle
T12C9.7,WBGene00020461,Cell cycle,Cell cycle,Cell cycle
Y23H5A.3,WBGene00021270,Cell cycle,Cell cycle,Cell cycle
C33G8.2,WBGene00016360,Cell cycle,Cell cycle,Cell cycle
C01G12.4,WBGene00006939,Cell cycle,Cell cycle,Cell cycle
F35B12.5,WBGene00009385,Cell cycle,Cell cycle,Cell cycle
Y45F10D.9,WBGene00012888,Cell cycle,Cell cycle,Cell cycle
C01B7.1,WBGene00006342,Cell cycle,Cell cycle,Cell cycle
T23D8.9,WBGene00006379,Cell cycle,Cell cycle,Cell cycle
N.A.,WBGene00004828,Cell cycle,Cell cycle,Cell cycle
F23C8.9,WBGene00017738,Cell cycle,Cell cycle,Cell cycle
Y47G6A.25,WBGene00021649,Cell cycle,Cell cycle,Cell cycle
Y6B3B.4,WBGene00012389,Cell cycle,Cell cycle,Cell cycle
Y71G12B.27,WBGene00022162,Cell cycle,Cell cycle,Cell cycle
Y9C9A.13,WBGene00021180,Cell cycle,Cell cycle,Cell cycle
F15H10.3,WBGene00000144,Cell cycle,Cell cycle: APC,Cell cycle: APC
F35G12.9,WBGene00000145,Cell cycle,Cell cycle: APC,Cell cycle: APC
C09H10.7,WBGene00007501,Cell cycle,Cell cycle: APC,Cell cycle: APC
K06H7.6,WBGene00000143,Cell cycle,Cell cycle: APC,Cell cycle: APC
B0511.9,WBGene00015235,Cell cycle,Cell cycle: APC,Cell cycle: APC
K10D2.4,WBGene00019630,Cell cycle,Cell cycle: APC,Cell cycle: APC
M163.4,WBGene00001583,Cell cycle,Cell cycle: APC,Cell cycle: APC
Y110A7A.17,WBGene00003132,Cell cycle,Cell cycle: APC,Cell cycle: APC
F10C5.1,WBGene00003134,Cell cycle,Cell cycle: APC,Cell cycle: APC
Y66D12A.17,WBGene00013443,Cell cycle,Cell cycle: APC,Cell cycle: APC
K07C11.2,WBGene00000098,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
C45G3.1,WBGene00008107,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
T27F2.3,WBGene00000249,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
Y54G9A.6,WBGene00013209,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
C17G10.1,WBGene00015915,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
C41G7.3,WBGene00008061,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
F29D11.2,WBGene00009254,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
F55C5.4,WBGene00010093,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
C07H6.3,WBGene00015580,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
K08A8.3,WBGene00000591,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
F08H9.1,WBGene00000592,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
Y45G5AM.8,WBGene00021560,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
Y71H2AM.7,WBGene00022172,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
F54C8.2,WBGene00010036,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
Y48E1B.12,WBGene00000804,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
F20D12.4,WBGene00017643,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
F26H11.6,WBGene00194892,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
F08F8.4,WBGene00017269,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
F31C3.2,WBGene00009284,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
C33A12.12,WBGene00007887,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
ZK328.4,WBGene00022694,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
ZK1055.1,WBGene00001829,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
T06E4.1,WBGene00001830,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
Y110A7A.1,WBGene00001833,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
ZK381.1,WBGene00001862,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
Y73B6BL.2,WBGene00002033,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
F57C9.5,WBGene00002034,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
Y39G10AR.13,WBGene00002047,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
R13F6.1,WBGene00020064,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
F26F4.13,WBGene00017832,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
F26H11.1,WBGene00009179,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
Y92C3B.1,WBGene00022357,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
C34B2.2,WBGene00016387,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics
